,Date,Faisceau,ArrDep,PAX,PAX_FQM,Sièges Corrections_ICI,Coeff_Rempl,Coeff_Rempl_FQM,PAX_NP
0,2016-01-16,Autre UE,Arrivée,375,387.09999999999997,801.3619923697884,0.4766848734106281,0.7,312.3492007671773
1,2016-01-16,Autre UE,Départ,280,403.69000000000005,593.7157438930582,0.4511571312433964,0.73,408.0541951414605
2,2016-01-16,Dom Tom,Arrivée,4680,4829.19,5442.055728852668,0.8475798236759823,0.8692857142857144,5013.604307674331
3,2016-01-16,Dom Tom,Départ,5876,5717.170000000001,5914.055728852669,0.999743533192429,0.956,5797.416164208505
4,2016-01-16,International,Arrivée,6711,6409.86,9533.166369421953,0.6996083145874611,0.6948979591836738,6710.300016108268
5,2016-01-16,International,Départ,8020,7421.6,10607.277904507868,0.7535976671167567,0.7401960784313724,7197.051962637148
6,2016-01-16,National,Arrivée,6842,7081.859999999997,11335.545941094046,0.6088901658991526,0.6262499999999995,7512.796848882157
7,2016-01-16,National,Départ,6503,6640.434600000005,9126.534241158723,0.6923070933061828,0.6798956521739136,7665.8155033533985
8,2016-01-16,Schengen,Arrivée,5704,6669.494999999998,9307.636529109435,0.6116796074947198,0.7025000000000003,6826.594305103927
9,2016-01-16,Schengen,Départ,6782,7287.019199999996,9473.994212686923,0.7124975692569373,0.7452142857142855,7182.028334395194
10,2016-01-17,Autre UE,Arrivée,711,737.8000000000001,921.8402731933493,0.747387206527643,0.8499999999999999,531.6047687664471
11,2016-01-17,Autre UE,Départ,643,690.27,940.9230592707956,0.6797592835361336,0.7900000000000001,593.9567900872739
12,2016-01-17,Dom Tom,Arrivée,5483,5214.200000000001,6211.07419192652,0.8719398998486114,0.8387500000000001,4882.4275203014595
13,2016-01-17,Dom Tom,Départ,5440,5183.09,5463.269526844218,1.004771025443114,0.9100000000000001,5143.7106760331735
14,2016-01-17,International,Arrivée,8483,8028.622000000004,11020.283322377485,0.7637312927108234,0.7539907407407408,8715.86177751789
15,2016-01-17,International,Départ,7939,7947.0999999999985,10615.904620412257,0.7460131976350932,0.7951923076923075,8039.514095928793
16,2016-01-17,National,Arrivée,10765,10608.719999999998,13421.882493169967,0.7838905574090864,0.7581443298969069,9777.86303509837
17,2016-01-17,National,Départ,10989,10860.720000000005,14957.426609426915,0.7144042845318076,0.6942592592592598,9764.638014086213
18,2016-01-17,Schengen,Arrivée,10435,9997.500000000002,13456.000570134089,0.77293039337904,0.7349367088607586,10245.851450643753
19,2016-01-17,Schengen,Départ,9126,9182.849999999999,13385.223211030514,0.7006488946302861,0.6931578947368416,9636.11074766097
20,2016-01-18,Autre UE,Arrivée,695,883.3356,1286.937902763458,0.5185662245347212,0.7117272727272729,532.5233550420934
21,2016-01-18,Autre UE,Départ,753,897.1200000000001,1286.9379027634577,0.5894355061129911,0.7163636363636364,747.5641929246697
22,2016-01-18,Dom Tom,Arrivée,3753,3778.1800000000003,5463.269526844218,0.6735936007266127,0.6771428571428573,3466.019100116053
23,2016-01-18,Dom Tom,Départ,5334,5361.0,5550.247130883345,0.9658043373088436,0.9428571428571428,5281.192599209306
24,2016-01-18,International,Arrivée,5775,5642.940000000003,8073.49343264765,0.7018611681507683,0.716744186046511,5865.278554711267
25,2016-01-18,International,Départ,5698,5244.549999999997,8232.137285626104,0.6870532471010701,0.6575000000000003,4752.802696536816
26,2016-01-18,National,Arrivée,15082,14657.480000000021,19180.330484170627,0.7670062440244119,0.7642553191489376,13572.029388200004
27,2016-01-18,National,Départ,11989,11538.150000000003,18535.113378576498,0.6125104052953408,0.6079577464788751,11426.366573744486
