,Date,Faisceau,ArrDep,PAX_Lasso,IC95_low_LASSO,IC95_up_LASSO
0,2016-01-01,National,Départ,8749.79377378018,2939.869775504545,13033.625746232614
1,2016-01-02,National,Départ,10508.340689221226,4698.416690945591,14792.17266167366
2,2016-01-03,National,Départ,14114.480299506638,8304.556301231003,18398.312271959072
3,2016-01-04,National,Départ,13872.51691625717,8062.592917981534,18156.348888709603
4,2016-01-05,National,Départ,13872.51691625717,8062.592917981534,18156.348888709603
5,2016-01-06,National,Départ,15172.232578197287,9362.308579921651,19456.06455064972
6,2016-01-07,National,Départ,16572.891975555736,10762.967977280101,20856.72394800817
7,2016-01-01,Schengen,Départ,8634.965907528227,5258.895330344938,13662.799198994358
8,2016-01-02,Schengen,Départ,8636.367094538471,5260.296517355182,13664.200386004602
9,2016-01-03,Schengen,Départ,9886.044316565587,6509.973739382298,14913.877608031718
10,2016-01-04,Schengen,Départ,9374.083235252157,5998.012658068868,14401.91652671829
11,2016-01-05,Schengen,Départ,7330.342738722583,3954.2721615392934,12358.176030188715
12,2016-01-06,Schengen,Départ,7825.222424015875,4449.151846832585,12853.055715482007
13,2016-01-07,Schengen,Départ,8477.932266075108,5101.861688891819,13505.76555754124
14,2016-01-01,Autre UE,Départ,554.8378185372436,253.69514652788797,1836.8507357890821
15,2016-01-02,Autre UE,Départ,455.97927198637564,154.83659997702,1737.992189238214
16,2016-01-03,Autre UE,Départ,478.2958340806031,177.15316207124744,1760.3087513324415
17,2016-01-04,Autre UE,Départ,521.3739770812384,220.2313050718828,1803.3868943330767
18,2016-01-05,Autre UE,Départ,521.3739770812384,220.2313050718828,1803.3868943330767
19,2016-01-06,Autre UE,Départ,521.3739770812384,220.2313050718828,1803.3868943330767
20,2016-01-07,Autre UE,Départ,521.3739770812384,220.2313050718828,1803.3868943330767
21,2016-01-01,International,Départ,6790.7463733199,4930.164284613595,9594.368647292516
22,2016-01-02,International,Départ,7178.093320279316,5317.51123157301,9981.715594251933
23,2016-01-03,International,Départ,8591.31134265313,6730.729253946825,11394.933616625747
24,2016-01-04,International,Départ,5021.674679875764,3161.0925911694585,7825.296953848381
25,2016-01-05,International,Départ,5030.781427853138,3170.1993391468322,7834.403701825755
26,2016-01-06,International,Départ,4898.132323890592,3037.550235184286,7701.754597863208
27,2016-01-07,International,Départ,6235.570340872635,4374.988252166329,9039.192614845251
28,2016-01-01,Dom Tom,Départ,4702.846657338604,3755.0500848585402,6506.769241819375
29,2016-01-02,Dom Tom,Départ,5146.871309877687,4199.074737397623,6950.793894358458
30,2016-01-03,Dom Tom,Départ,5318.708723036178,4370.912150556114,7122.631307516948
31,2016-01-04,Dom Tom,Départ,4476.699510285057,3528.902937804993,6280.622094765828
32,2016-01-05,Dom Tom,Départ,3464.4217373858564,2516.6251649057926,5268.344321866627
33,2016-01-06,Dom Tom,Départ,3702.1592656900148,2754.362693209951,5506.081850170785
34,2016-01-07,Dom Tom,Départ,4035.450998817707,3087.654426337643,5839.373583298478
