Type avion,Compagnie,Nombre de mouvements réalisés,Nombre de vol atterris décollés,Nombre de passagers max réalisés,Nombre de passagers réalisés moyen
32S,ALK AIRLINES,2,2,0,0.0
32S,ALMASRIA UNIVERSAL A,146,146,205,152.32876712328766
32S,ALPHA STAR,8,8,10,2.5
32S,AMBASSADE CAMEROUN,1,1,0,0.0
32S,AMBASSADE GAMBIE,2,2,25,25.0
32S,AMBASSADE ITALIE,6,6,31,8.333333333333334
32S,AMBASSADE OMAN,8,8,150,19.375
32S,AMBASSADE SENEGAL,44,44,36,2.8863636363636362
32S,AMBASSADE TURQUIE,3,3,0,0.0
32S,ANISEC LUFTFAHRT GMB,504,504,215,129.18650793650792
32S,ARKEFLY,1,1,0,0.0
32S,ARKIA ISRAELI AIRLIN,115,115,218,147.0
32S,ARMAVIA,22,22,110,47.0
32S,ASL AIRLINES BELGIUM,2,2,0,0.0
32S,ASL AIRLINES FRANCE,2,2,126,63.0
32S,ASTRA AIRLINES,458,458,182,141.6943231441048
32S,ATC CJSC (GOV),4,4,32,22.5
32S,ATLANTIC AIRWAYS FAR,4,4,156,70.0
32S,ATLANTIQUE AIR ASSIS,7,7,100,14.285714285714286
32S,ATLASGLOBAL,2478,2478,220,125.5544794188862
32S,ATLASJET HAVACILIK,62,62,210,143.0483870967742
32S,AUSTRIAN AIRLINES,15062,15062,335,150.50783428495552
32S,AVCON JET AG,2,2,0,0.0
32S,AVIATION LINK,2,2,8,4.0
32S,AVION EXPRESS,3,3,182,116.66666666666667
32S,AVIRO AIR,8,8,183,85.375
32S,AZAL AZERBAIJAN AIRL,2636,2636,175,70.25531107738999
32S,BAA JET MANAJEMENT L,2,2,0,0.0
32S,BELLE AIR,4,4,140,104.0
32S,BELLE AIR EUROPE,2,2,148,146.0
32S,BH AIR,129,129,215,104.37209302325581
32S,BINGO AIRWAYS,12,12,102,8.5
32S,BRITISH AIRWAYS,48972,48972,229,118.35469247733398
32S,BRUSSELS AIRLINES,8859,8859,181,87.97460209955977
32S,BULGARIA AIR  EAD,2350,2350,180,109.89659574468085
32S,C.A.I. Second S.p.A.,3301,3301,196,89.60951226900939
32S,CAMAIR-CO,4,4,104,29.0
32S,CITYJET,2,2,89,88.5
32S,COBALT AIR,494,494,159,100.88259109311741
32S,CONDOR FLUGDIENST GM,2,2,3,1.5
32S,CORENDON AIRLINES,102,102,208,136.2156862745098
32S,CORENDON DUTCH AIR,4,4,0,0.0
32S,CORSAIR INTL,2,2,180,90.0
32S,CROATIA AIRLINES,7971,7971,174,110.90967256304103
32S,CYPRUS AIRWAYS,1398,1398,168,111.00071530758225
32S,CZECH AIR FORCE,2,2,6,6.0
32S,CZECH AIRLINES,13208,13208,202,121.10364930345246
32S,DAIMLERCHRYSLER AVIA,4,4,156,42.0
32S,DANISH AIR TRANSPORT,6,6,180,40.0
32S,DART LIMITED TRUST D,1,1,0,0.0
32S,EASYJET AIRLINES CO,341905,341905,215,149.9514894488235
32S,EASYJET SWITZERLAND,15224,15224,191,145.85444035733053
32S,EDELWEISS AIR,4,4,123,54.25
32S,EGYPTAIR,1338,1338,161,93.70926756352765
32S,EL AL,6,6,170,134.33333333333334
32S,ELLINAIR,2,2,0,0.0
32S,ENTER AIR,19,19,168,81.10526315789474
32S,ERNEST SPA,7,7,144,51.857142857142854
32S,EUROPE AIRPOST,13,13,133,29.53846153846154
32S,EUROWINGS AG,6456,6456,193,99.89947335811648
32S,EVELOP AIRLINES S.L,54,54,180,133.90740740740742
32S,EVERJETS AVIACAO EX,2,2,140,70.0
32S,FINNAIR,20752,20752,207,130.30059753276794
32S,FLY ONE S.R.L,320,320,183,121.396875
32S,FORCE AERIENNE BELGI,12,12,131,46.5
32S,FORCE AERIENNE ITALI,6,6,0,0.0
32S,FREEBIRD AIRLINES,672,672,215,136.07440476190476
32S,GERMAN AIR FORCE,4,4,0,0.0
32S,GERMANIA FLUGGESELLS,434,434,264,117.09907834101382
32S,GERMANWINGS GMBH,11332,11332,174,94.12327920931874
32S,GLOBAL JET LUXEMBOUR,6,6,14,3.6666666666666665
32S,GO2SKY,2,2,145,72.5
32S,GULF AIR COMPANY,4896,4896,180,78.28819444444444
32S,HAMBURG AIRWAYS,4,4,125,44.5
32S,HELLO AG,7,7,173,73.0
32S,HERMES AIRLINES,862,862,220,154.21461716937355
32S,HOLIDAYS CZECH AIR,175,175,181,128.87428571428572
32S,HOP!,8,8,130,64.25
32S,HUNNU AIR LLC,42,42,96,60.95238095238095
32S,IBERIA,28952,28952,202,140.0116399557889
32S,IBERIA EXPRESS,3205,3205,212,145.66458658346335
32S,IBERWORLD AIRLINES,2,2,122,61.0
32S,IRAN AIR,2,2,113,91.0
32S,ISRAIR AIRLINES,237,237,180,118.16455696202532
32S,JET2.COM LIMITED,36,36,146,106.41666666666667
32S,JETAIRFLY,104,104,180,144.97115384615384
32S,K5-AVIATION,2,2,0,0.0
32S,LATAM AIRLINES GROUP,2,2,0,0.0
32S,LIMITLESS AIRWAYS,53,53,183,121.64150943396227
32S,LOT,5,5,160,90.8
32S,LUFTHANSA,62127,62127,204,117.82823892993385
32S,MALETH-AERO AOC LTD,6,6,144,66.66666666666667
32S,MASTERJET AVIACAO,9,9,17,1.8888888888888888
32S,MERIDIANA SPA,16,16,176,104.5625
32S,MIDDLE EAST AIRLINES,178,178,151,103.85393258426966
32S,MONARCH AIRLINES LTD,18,18,193,54.05555555555556
32S,MONTENEGRO AIRLINES,2,2,87,50.0
32S,NATIONAL AIR SERVICE,6,6,4,0.8333333333333334
32S,NEOS SPA,1,1,0,0.0
32S,NESMA AIRLINES,312,312,179,143.35256410256412
32S,NEW LIVINGSTON,47,47,180,71.72340425531915
32S,NIKI LUFTFAHRT GMBH,6107,6107,220,127.77517602750942
32S,NILE AIR,8,8,179,90.375
32S,NORDWIND AIRLINES,2,2,0,0.0
32S,NORWEGIAN AIR INTERN,1,1,0,0.0
